"","year.x","state","county","colony_count","compound","epest_low_kg","epest_high_kg"
"42",2012,"WYOMING","GOSHEN","NA","CLOTHIANIDIN",343,343
"43",2012,"WYOMING","GOSHEN","NA","IMIDACLOPRID",47,51
"44",2012,"WYOMING","LARAMIE","158","CHLOROTHALONIL",272,965
"45",2012,"WYOMING","LARAMIE","158","CHLORPYRIFOS",3777,4714
"46",2012,"WYOMING","LARAMIE","158","CLOTHIANIDIN",131,131
"47",2012,"WYOMING","LARAMIE","158","IMIDACLOPRID",181,182
"48",2012,"WYOMING","PLATTE","NA","CHLOROTHALONIL",140,330
"49",2012,"WYOMING","PLATTE","NA","CHLORPYRIFOS",4483,5625
"50",2012,"WYOMING","PLATTE","NA","CLOTHIANIDIN",170,170
"51",2012,"WYOMING","PLATTE","NA","IMIDACLOPRID",13,15
"52",2012,"WYOMING","LINCOLN","NA","CHLOROTHALONIL",4,4
"53",2012,"WYOMING","LINCOLN","NA","CHLORPYRIFOS",17,330
"54",2012,"WYOMING","LINCOLN","NA","CLOTHIANIDIN",3,3
"55",2012,"WYOMING","LINCOLN","NA","IMIDACLOPRID",1,1
"56",2012,"WYOMING","TETON","NA","CHLORPYRIFOS",NA,6
"57",2012,"WYOMING","UINTA","136","CHLORPYRIFOS",NA,30
"58",2007,"WYOMING","CAMPBELL","NA","CHLORPYRIFOS",137,705
"59",2007,"WYOMING","CAMPBELL","NA","CLOTHIANIDIN",0,0
"60",2007,"WYOMING","CAMPBELL","NA","FIPRONIL",NA,0
"61",2007,"WYOMING","CAMPBELL","NA","IMIDACLOPRID",1,1
"62",2007,"WYOMING","CROOK","NA","CHLORPYRIFOS",138,1106
"63",2007,"WYOMING","JOHNSON","7,887","CHLORPYRIFOS",47,320
"64",2007,"WYOMING","JOHNSON","7,887","CLOTHIANIDIN",0,0
"65",2007,"WYOMING","JOHNSON","7,887","FIPRONIL",NA,0
"66",2007,"WYOMING","JOHNSON","7,887","IMIDACLOPRID",1,1
"67",2007,"WYOMING","SHERIDAN","NA","CHLOROTHALONIL",2,2
"68",2007,"WYOMING","SHERIDAN","NA","CHLORPYRIFOS",266,831
"69",2007,"WYOMING","SHERIDAN","NA","CLOTHIANIDIN",3,3
"70",2007,"WYOMING","SHERIDAN","NA","FIPRONIL",NA,2
"71",2007,"WYOMING","SHERIDAN","NA","IMIDACLOPRID",7,7
"72",2007,"WYOMING","WESTON","NA","CHLORPYRIFOS",84,356
"73",2007,"WYOMING","WESTON","NA","CLOTHIANIDIN",1,1
"74",2007,"WYOMING","WESTON","NA","FIPRONIL",NA,1
"75",2007,"WYOMING","WESTON","NA","IMIDACLOPRID",2,2
"76",2007,"WYOMING","BIG HORN","9,738","CHLORPYRIFOS",3290,4100
"77",2007,"WYOMING","BIG HORN","9,738","CLOTHIANIDIN",NA,6
"78",2007,"WYOMING","FREMONT","13,040","CHLOROTHALONIL",1,1
"79",2007,"WYOMING","FREMONT","13,040","CHLORPYRIFOS",2510,2655
"80",2007,"WYOMING","FREMONT","13,040","CLOTHIANIDIN",NA,2
"81",2007,"WYOMING","HOT SPRINGS","NA","CHLORPYRIFOS",259,280
"82",2007,"WYOMING","HOT SPRINGS","NA","CLOTHIANIDIN",NA,0
"83",2007,"WYOMING","PARK","NA","CHLORPYRIFOS",1979,3177
"84",2007,"WYOMING","PARK","NA","CLOTHIANIDIN",NA,3
"85",2007,"WYOMING","WASHAKIE","NA","CHLORPYRIFOS",1321,2028
"86",2007,"WYOMING","WASHAKIE","NA","CLOTHIANIDIN",NA,2
"87",2007,"WYOMING","NATRONA","496","CHLORPYRIFOS",453,453
"88",2007,"WYOMING","NATRONA","496","CLOTHIANIDIN",1,1
"89",2007,"WYOMING","NATRONA","496","IMIDACLOPRID",1,1
"90",2007,"WYOMING","SWEETWATER","765","CHLORPYRIFOS",328,328
"91",2007,"WYOMING","CONVERSE","NA","CHLORPYRIFOS",NA,464
"92",2007,"WYOMING","CONVERSE","NA","CLOTHIANIDIN",1,1
"93",2007,"WYOMING","CONVERSE","NA","FIPRONIL",NA,1
"94",2007,"WYOMING","CONVERSE","NA","IMIDACLOPRID",2,2
"95",2007,"WYOMING","GOSHEN","NA","CHLOROTHALONIL",429,429
"96",2007,"WYOMING","GOSHEN","NA","CHLORPYRIFOS",6,1096
"97",2007,"WYOMING","GOSHEN","NA","CLOTHIANIDIN",56,56
"98",2007,"WYOMING","GOSHEN","NA","FIPRONIL",NA,38
"99",2007,"WYOMING","GOSHEN","NA","IMIDACLOPRID",84,84
"100",2007,"WYOMING","LARAMIE","NA","CHLOROTHALONIL",2725,2834
"101",2007,"WYOMING","LARAMIE","NA","CHLORPYRIFOS",33,472
"102",2007,"WYOMING","LARAMIE","NA","CLOTHIANIDIN",18,18
"103",2007,"WYOMING","LARAMIE","NA","FIPRONIL",NA,12
"104",2007,"WYOMING","LARAMIE","NA","IMIDACLOPRID",59,59
"105",2007,"WYOMING","PLATTE","NA","CHLOROTHALONIL",45,45
"106",2007,"WYOMING","PLATTE","NA","CHLORPYRIFOS",NA,659
"107",2007,"WYOMING","PLATTE","NA","CLOTHIANIDIN",25,25
"108",2007,"WYOMING","PLATTE","NA","FIPRONIL",NA,17
"109",2007,"WYOMING","PLATTE","NA","IMIDACLOPRID",38,38
"110",2007,"WYOMING","LINCOLN","NA","CHLOROTHALONIL",1,1
"111",2007,"WYOMING","LINCOLN","NA","CHLORPYRIFOS",2031,2031
"112",2007,"WYOMING","LINCOLN","NA","CLOTHIANIDIN",0,0
"113",2007,"WYOMING","LINCOLN","NA","IMIDACLOPRID",0,0
"114",2007,"WYOMING","TETON","NA","CHLORPYRIFOS",232,232
"115",2007,"WYOMING","UINTA","NA","CHLORPYRIFOS",315,315
"116",2012,"WISCONSIN","ADAMS","74","CHLOROTHALONIL",18804,19531
"117",2012,"WISCONSIN","ADAMS","74","CHLORPYRIFOS",35,879
"118",2012,"WISCONSIN","ADAMS","74","CLOTHIANIDIN",266,273
"119",2012,"WISCONSIN","ADAMS","74","IMIDACLOPRID",521,525
"120",2012,"WISCONSIN","GREEN LAKE","111","CHLOROTHALONIL",1074,1443
"121",2012,"WISCONSIN","GREEN LAKE","111","CHLORPYRIFOS",23,1730
"122",2012,"WISCONSIN","GREEN LAKE","111","CLOTHIANIDIN",416,426
"123",2012,"WISCONSIN","GREEN LAKE","111","IMIDACLOPRID",110,126
"124",2012,"WISCONSIN","JUNEAU","11","CHLOROTHALONIL",1167,1200
"125",2012,"WISCONSIN","JUNEAU","11","CHLORPYRIFOS",14,1737
"126",2012,"WISCONSIN","JUNEAU","11","CLOTHIANIDIN",304,320
"127",2012,"WISCONSIN","JUNEAU","11","IMIDACLOPRID",160,166
"128",2012,"WISCONSIN","MARQUETTE","233","CHLOROTHALONIL",2397,2426
"129",2012,"WISCONSIN","MARQUETTE","233","CHLORPYRIFOS",7,1242
"130",2012,"WISCONSIN","MARQUETTE","233","CLOTHIANIDIN",260,269
"131",2012,"WISCONSIN","MARQUETTE","233","IMIDACLOPRID",129,134
"132",2012,"WISCONSIN","PORTAGE","NA","CHLOROTHALONIL",33838,35762
"133",2012,"WISCONSIN","PORTAGE","NA","CHLORPYRIFOS",84,1750
"134",2012,"WISCONSIN","PORTAGE","NA","CLOTHIANIDIN",554,561
"135",2012,"WISCONSIN","PORTAGE","NA","IMIDACLOPRID",901,906
"136",2012,"WISCONSIN","WAUPACA","215","CHLOROTHALONIL",1749,1792
"137",2012,"WISCONSIN","WAUPACA","215","CHLORPYRIFOS",11,1926
"138",2012,"WISCONSIN","WAUPACA","215","CLOTHIANIDIN",410,422
"139",2012,"WISCONSIN","WAUPACA","215","IMIDACLOPRID",137,146
"140",2012,"WISCONSIN","WAUSHARA","745","CHLOROTHALONIL",13142,13752
"141",2012,"WISCONSIN","WAUSHARA","745","CHLORPYRIFOS",36,1246
"142",2012,"WISCONSIN","WAUSHARA","745","CLOTHIANIDIN",314,323
"143",2012,"WISCONSIN","WAUSHARA","745","IMIDACLOPRID",394,403
"144",2012,"WISCONSIN","WOOD","NA","CHLOROTHALONIL",420,422
"145",2012,"WISCONSIN","WOOD","NA","CHLORPYRIFOS",10,1660
"146",2012,"WISCONSIN","WOOD","NA","CLOTHIANIDIN",302,314
"147",2012,"WISCONSIN","WOOD","NA","IMIDACLOPRID",114,120
"148",2012,"WISCONSIN","BROWN","1,472","CHLOROTHALONIL",45,106
"149",2012,"WISCONSIN","BROWN","1,472","CHLORPYRIFOS",418,605
"150",2012,"WISCONSIN","BROWN","1,472","CLOTHIANIDIN",363,372
"151",2012,"WISCONSIN","BROWN","1,472","IMIDACLOPRID",23,47
"152",2012,"WISCONSIN","CALUMET","123","CHLOROTHALONIL",15,56
"153",2012,"WISCONSIN","CALUMET","123","CHLORPYRIFOS",470,615
"154",2012,"WISCONSIN","CALUMET","123","CLOTHIANIDIN",274,286
"155",2012,"WISCONSIN","CALUMET","123","IMIDACLOPRID",27,46
"156",2012,"WISCONSIN","DOOR","33","CHLOROTHALONIL",11349,11386
"157",2012,"WISCONSIN","DOOR","33","CHLORPYRIFOS",705,767
"158",2012,"WISCONSIN","DOOR","33","CLOTHIANIDIN",149,155
"159",2012,"WISCONSIN","DOOR","33","IMIDACLOPRID",18,45
"160",2012,"WISCONSIN","FOND DU LAC","188","CHLOROTHALONIL",10,403
"161",2012,"WISCONSIN","FOND DU LAC","188","CHLORPYRIFOS",981,1324
"162",2012,"WISCONSIN","FOND DU LAC","188","CLOTHIANIDIN",646,669
"163",2012,"WISCONSIN","FOND DU LAC","188","IMIDACLOPRID",51,90
"164",2012,"WISCONSIN","KEWAUNEE","17","CHLOROTHALONIL",203,219
"165",2012,"WISCONSIN","KEWAUNEE","17","CHLORPYRIFOS",236,406
"166",2012,"WISCONSIN","KEWAUNEE","17","CLOTHIANIDIN",323,328
"167",2012,"WISCONSIN","KEWAUNEE","17","IMIDACLOPRID",12,38
"168",2012,"WISCONSIN","MANITOWOC","185","CHLOROTHALONIL",983,1034
"169",2012,"WISCONSIN","MANITOWOC","185","CHLORPYRIFOS",489,709
"170",2012,"WISCONSIN","MANITOWOC","185","CLOTHIANIDIN",414,426
"171",2012,"WISCONSIN","MANITOWOC","185","IMIDACLOPRID",27,61
"172",2012,"WISCONSIN","OUTAGAMIE","350","CHLOROTHALONIL",494,1720
"173",2012,"WISCONSIN","OUTAGAMIE","350","CHLORPYRIFOS",1070,1339
"174",2012,"WISCONSIN","OUTAGAMIE","350","CLOTHIANIDIN",507,545
"175",2012,"WISCONSIN","OUTAGAMIE","350","IMIDACLOPRID",65,118
"176",2012,"WISCONSIN","SHEBOYGAN","NA","CHLOROTHALONIL",20,176
"177",2012,"WISCONSIN","SHEBOYGAN","NA","CHLORPYRIFOS",634,800
"178",2012,"WISCONSIN","SHEBOYGAN","NA","CLOTHIANIDIN",318,333
"179",2012,"WISCONSIN","SHEBOYGAN","NA","IMIDACLOPRID",34,63
"180",2012,"WISCONSIN","WINNEBAGO","NA","CHLOROTHALONIL",9,48
"181",2012,"WISCONSIN","WINNEBAGO","NA","CHLORPYRIFOS",600,739
"182",2012,"WISCONSIN","WINNEBAGO","NA","CLOTHIANIDIN",262,278
"183",2012,"WISCONSIN","WINNEBAGO","NA","IMIDACLOPRID",36,60
"184",2012,"WISCONSIN","ASHLAND","NA","CHLOROTHALONIL",4,7
"185",2012,"WISCONSIN","ASHLAND","NA","CHLORPYRIFOS",9,70
"186",2012,"WISCONSIN","ASHLAND","NA","CLOTHIANIDIN",13,13
"187",2012,"WISCONSIN","ASHLAND","NA","IMIDACLOPRID",0,5
"188",2012,"WISCONSIN","CLARK","3,512","CHLOROTHALONIL",39,47
"189",2012,"WISCONSIN","CLARK","3,512","CHLORPYRIFOS",288,2563
"190",2012,"WISCONSIN","CLARK","3,512","CLOTHIANIDIN",686,686
"191",2012,"WISCONSIN","CLARK","3,512","IMIDACLOPRID",1,218
"192",2012,"WISCONSIN","IRON","NA","CHLOROTHALONIL",2,5
"193",2012,"WISCONSIN","IRON","NA","CHLORPYRIFOS",1,13
"194",2012,"WISCONSIN","IRON","NA","CLOTHIANIDIN",1,1
"195",2012,"WISCONSIN","IRON","NA","IMIDACLOPRID",NA,0
"196",2012,"WISCONSIN","LINCOLN","8","CHLOROTHALONIL",277,277
"197",2012,"WISCONSIN","LINCOLN","8","CHLORPYRIFOS",28,243
"198",2012,"WISCONSIN","LINCOLN","8","CLOTHIANIDIN",46,46
"199",2012,"WISCONSIN","LINCOLN","8","IMIDACLOPRID",14,33
"200",2012,"WISCONSIN","MARATHON","NA","CHLOROTHALONIL",1459,1638
"201",2012,"WISCONSIN","MARATHON","NA","CHLORPYRIFOS",328,2614
"202",2012,"WISCONSIN","MARATHON","NA","CLOTHIANIDIN",667,667
"203",2012,"WISCONSIN","MARATHON","NA","IMIDACLOPRID",54,298
"204",2012,"WISCONSIN","ONEIDA","81","CHLOROTHALONIL",113,119
"205",2012,"WISCONSIN","ONEIDA","81","CHLORPYRIFOS",3,14
"206",2012,"WISCONSIN","ONEIDA","81","CLOTHIANIDIN",4,4
"207",2012,"WISCONSIN","ONEIDA","81","IMIDACLOPRID",5,6
"208",2012,"WISCONSIN","PRICE","53","CHLOROTHALONIL",61,61
"209",2012,"WISCONSIN","PRICE","53","CHLORPYRIFOS",4,157
"210",2012,"WISCONSIN","PRICE","53","CLOTHIANIDIN",33,33
"211",2012,"WISCONSIN","PRICE","53","IMIDACLOPRID",0,5
"212",2012,"WISCONSIN","TAYLOR","NA","CHLOROTHALONIL",730,730
"213",2012,"WISCONSIN","TAYLOR","NA","CHLORPYRIFOS",130,841
"214",2012,"WISCONSIN","TAYLOR","NA","CLOTHIANIDIN",232,232
"215",2012,"WISCONSIN","TAYLOR","NA","IMIDACLOPRID",36,135
"216",2012,"WISCONSIN","VILAS","19","CHLOROTHALONIL",32,32
"217",2012,"WISCONSIN","VILAS","19","CHLORPYRIFOS",0,4
"218",2012,"WISCONSIN","VILAS","19","CLOTHIANIDIN",1,1
"219",2012,"WISCONSIN","VILAS","19","IMIDACLOPRID",2,2
"220",2012,"WISCONSIN","FLORENCE","NA","CHLORPYRIFOS",2,6
"221",2012,"WISCONSIN","FLORENCE","NA","CLOTHIANIDIN",1,1
"222",2012,"WISCONSIN","FLORENCE","NA","IMIDACLOPRID",0,0
"223",2012,"WISCONSIN","FOREST","15","CHLOROTHALONIL",200,200
"224",2012,"WISCONSIN","FOREST","15","CHLORPYRIFOS",NA,7
"225",2012,"WISCONSIN","FOREST","15","CLOTHIANIDIN",1,2
"226",2012,"WISCONSIN","FOREST","15","IMIDACLOPRID",2,3
"227",2012,"WISCONSIN","LANGLADE","9","CHLOROTHALONIL",23239,23492
"228",2012,"WISCONSIN","LANGLADE","9","CHLORPYRIFOS",15,276
"229",2012,"WISCONSIN","LANGLADE","9","CLOTHIANIDIN",25,151
"230",2012,"WISCONSIN","LANGLADE","9","IMIDACLOPRID",248,264
"231",2012,"WISCONSIN","MARINETTE","293","CHLOROTHALONIL",1548,1661
"232",2012,"WISCONSIN","MARINETTE","293","CHLORPYRIFOS",17,583
"233",2012,"WISCONSIN","MARINETTE","293","CLOTHIANIDIN",64,70
"234",2012,"WISCONSIN","MARINETTE","293","IMIDACLOPRID",12,34
"235",2012,"WISCONSIN","OCONTO","30","CHLOROTHALONIL",1958,1960
"236",2012,"WISCONSIN","OCONTO","30","CHLORPYRIFOS",16,1056
"237",2012,"WISCONSIN","OCONTO","30","CLOTHIANIDIN",111,120
"238",2012,"WISCONSIN","OCONTO","30","IMIDACLOPRID",17,86
"239",2012,"WISCONSIN","SHAWANO","NA","CHLOROTHALONIL",2253,2253
"240",2012,"WISCONSIN","SHAWANO","NA","CHLORPYRIFOS",11,1346
"241",2012,"WISCONSIN","SHAWANO","NA","CLOTHIANIDIN",145,154
"242",2012,"WISCONSIN","SHAWANO","NA","IMIDACLOPRID",20,92
"243",2012,"WISCONSIN","BARRON","316","CHLOROTHALONIL",842,875
"244",2012,"WISCONSIN","BARRON","316","CHLORPYRIFOS",1444,1965
"245",2012,"WISCONSIN","BARRON","316","CLOTHIANIDIN",477,495
"246",2012,"WISCONSIN","BARRON","316","IMIDACLOPRID",32,634
"247",2012,"WISCONSIN","BAYFIELD","72","CHLOROTHALONIL",10,10
"248",2012,"WISCONSIN","BAYFIELD","72","CHLORPYRIFOS",90,301
"249",2012,"WISCONSIN","BAYFIELD","72","CLOTHIANIDIN",10,10
"250",2012,"WISCONSIN","BAYFIELD","72","IMIDACLOPRID",3,15
"251",2012,"WISCONSIN","BURNETT","39","CHLOROTHALONIL",60,59
"252",2012,"WISCONSIN","BURNETT","39","CHLORPYRIFOS",279,426
"253",2012,"WISCONSIN","BURNETT","39","CLOTHIANIDIN",85,89
"254",2012,"WISCONSIN","BURNETT","39","IMIDACLOPRID",0,148
"255",2012,"WISCONSIN","CHIPPEWA","NA","CHLOROTHALONIL",42,46
"256",2012,"WISCONSIN","CHIPPEWA","NA","CHLORPYRIFOS",1850,2483
"257",2012,"WISCONSIN","CHIPPEWA","NA","CLOTHIANIDIN",570,595
"258",2012,"WISCONSIN","CHIPPEWA","NA","IMIDACLOPRID",4,838
"259",2012,"WISCONSIN","DOUGLAS","61","CHLOROTHALONIL",21,22
"260",2012,"WISCONSIN","DOUGLAS","61","CHLORPYRIFOS",14,107
"261",2012,"WISCONSIN","DOUGLAS","61","CLOTHIANIDIN",3,4
"262",2012,"WISCONSIN","DOUGLAS","61","IMIDACLOPRID",1,18
"263",2012,"WISCONSIN","POLK","1,543","CHLOROTHALONIL",154,183
"264",2012,"WISCONSIN","POLK","1,543","CHLORPYRIFOS",1135,1564
"265",2012,"WISCONSIN","POLK","1,543","CLOTHIANIDIN",365,377
"266",2012,"WISCONSIN","POLK","1,543","IMIDACLOPRID",2,423
"267",2012,"WISCONSIN","RUSK","16","CHLOROTHALONIL",433,431
"268",2012,"WISCONSIN","RUSK","16","CHLORPYRIFOS",383,548
"269",2012,"WISCONSIN","RUSK","16","CLOTHIANIDIN",134,138
"270",2012,"WISCONSIN","RUSK","16","IMIDACLOPRID",16,146
"271",2012,"WISCONSIN","SAWYER","NA","CHLOROTHALONIL",28,32
"272",2012,"WISCONSIN","SAWYER","NA","CHLORPYRIFOS",122,174
"273",2012,"WISCONSIN","SAWYER","NA","CLOTHIANIDIN",38,40
"274",2012,"WISCONSIN","SAWYER","NA","IMIDACLOPRID",0,52
"275",2012,"WISCONSIN","WASHBURN","74","CHLOROTHALONIL",88,95
"276",2012,"WISCONSIN","WASHBURN","74","CHLORPYRIFOS",212,319
"277",2012,"WISCONSIN","WASHBURN","74","CLOTHIANIDIN",68,70
"278",2012,"WISCONSIN","WASHBURN","74","IMIDACLOPRID",4,96
"279",2012,"WISCONSIN","COLUMBIA","387","CHLOROTHALONIL",172,228
"280",2012,"WISCONSIN","COLUMBIA","387","CHLORPYRIFOS",1861,3578
"281",2012,"WISCONSIN","COLUMBIA","387","CLOTHIANIDIN",1213,1213
"282",2012,"WISCONSIN","COLUMBIA","387","IMIDACLOPRID",14,50
"283",2012,"WISCONSIN","DANE","1,315","CHLOROTHALONIL",362,410
"284",2012,"WISCONSIN","DANE","1,315","CHLORPYRIFOS",3472,6025
"285",2012,"WISCONSIN","DANE","1,315","CLOTHIANIDIN",1812,1812
"286",2012,"WISCONSIN","DANE","1,315","IMIDACLOPRID",27,83
"287",2012,"WISCONSIN","DODGE","766","CHLOROTHALONIL",133,857
"288",2012,"WISCONSIN","DODGE","766","CHLORPYRIFOS",3172,5256
"289",2012,"WISCONSIN","DODGE","766","CLOTHIANIDIN",1480,1480
"290",2012,"WISCONSIN","DODGE","766","IMIDACLOPRID",22,59
"291",2012,"WISCONSIN","GREEN","111","CHLOROTHALONIL",79,374
"292",2012,"WISCONSIN","GREEN","111","CHLORPYRIFOS",2517,3875
"293",2012,"WISCONSIN","GREEN","111","CLOTHIANIDIN",966,966
"294",2012,"WISCONSIN","GREEN","111","IMIDACLOPRID",12,41
"295",2012,"WISCONSIN","JEFFERSON","76","CHLOROTHALONIL",6548,6847
"296",2012,"WISCONSIN","JEFFERSON","76","CHLORPYRIFOS",2266,3320
"297",2012,"WISCONSIN","JEFFERSON","76","CLOTHIANIDIN",820,820
"298",2012,"WISCONSIN","JEFFERSON","76","IMIDACLOPRID",224,248
"299",2012,"WISCONSIN","ROCK","833","CHLOROTHALONIL",126,810
"300",2012,"WISCONSIN","ROCK","833","CHLORPYRIFOS",3701,5747
"301",2012,"WISCONSIN","ROCK","833","CLOTHIANIDIN",1461,1461
"302",2012,"WISCONSIN","ROCK","833","IMIDACLOPRID",23,64
"303",2012,"WISCONSIN","KENOSHA","57","CHLOROTHALONIL",11,33
"304",2012,"WISCONSIN","KENOSHA","57","CHLORPYRIFOS",1130,1172
"305",2012,"WISCONSIN","KENOSHA","57","CLOTHIANIDIN",503,510
"306",2012,"WISCONSIN","KENOSHA","57","IMIDACLOPRID",279,291
"307",2012,"WISCONSIN","MILWAUKEE","39","CHLOROTHALONIL",6,18
"308",2012,"WISCONSIN","MILWAUKEE","39","CHLORPYRIFOS",58,66
"309",2012,"WISCONSIN","MILWAUKEE","39","CLOTHIANIDIN",12,13
"310",2012,"WISCONSIN","MILWAUKEE","39","IMIDACLOPRID",15,16
"311",2012,"WISCONSIN","OZAUKEE","55","CHLOROTHALONIL",22,111
"312",2012,"WISCONSIN","OZAUKEE","55","CHLORPYRIFOS",605,678
"313",2012,"WISCONSIN","OZAUKEE","55","CLOTHIANIDIN",258,262
"314",2012,"WISCONSIN","OZAUKEE","55","IMIDACLOPRID",138,149
"315",2012,"WISCONSIN","RACINE","161","CHLOROTHALONIL",273,528
"316",2012,"WISCONSIN","RACINE","161","CHLORPYRIFOS",1660,1721
"317",2012,"WISCONSIN","RACINE","161","CLOTHIANIDIN",610,621
"318",2012,"WISCONSIN","RACINE","161","IMIDACLOPRID",412,424
"319",2012,"WISCONSIN","WALWORTH","69","CHLOROTHALONIL",26,154
"320",2012,"WISCONSIN","WALWORTH","69","CHLORPYRIFOS",2206,2321
"321",2012,"WISCONSIN","WALWORTH","69","CLOTHIANIDIN",1502,1517
"322",2012,"WISCONSIN","WALWORTH","69","IMIDACLOPRID",515,536
"323",2012,"WISCONSIN","WASHINGTON","917","CHLOROTHALONIL",3,119
"324",2012,"WISCONSIN","WASHINGTON","917","CHLORPYRIFOS",1251,1400
"325",2012,"WISCONSIN","WASHINGTON","917","CLOTHIANIDIN",692,701
"326",2012,"WISCONSIN","WASHINGTON","917","IMIDACLOPRID",299,314
"327",2012,"WISCONSIN","WAUKESHA","273","CHLOROTHALONIL",317,384
"328",2012,"WISCONSIN","WAUKESHA","273","CHLORPYRIFOS",1268,1377
"329",2012,"WISCONSIN","WAUKESHA","273","CLOTHIANIDIN",492,506
"330",2012,"WISCONSIN","WAUKESHA","273","IMIDACLOPRID",320,343
"331",2012,"WISCONSIN","CRAWFORD","84","CHLOROTHALONIL",39,95
"332",2012,"WISCONSIN","CRAWFORD","84","CHLORPYRIFOS",1292,1695
"333",2012,"WISCONSIN","CRAWFORD","84","CLOTHIANIDIN",352,352
"334",2012,"WISCONSIN","CRAWFORD","84","FIPRONIL",NA,13
"335",2012,"WISCONSIN","CRAWFORD","84","IMIDACLOPRID",43,47
"336",2012,"WISCONSIN","GRANT","NA","CHLOROTHALONIL",115,129
"337",2012,"WISCONSIN","GRANT","NA","CHLORPYRIFOS",5212,6412
"338",2012,"WISCONSIN","GRANT","NA","CLOTHIANIDIN",1671,1671
"339",2012,"WISCONSIN","GRANT","NA","FIPRONIL",NA,61
"340",2012,"WISCONSIN","GRANT","NA","IMIDACLOPRID",138,154
"341",2012,"WISCONSIN","IOWA","262","CHLOROTHALONIL",9884,9903
"342",2012,"WISCONSIN","IOWA","262","CHLORPYRIFOS",2447,3107
"343",2012,"WISCONSIN","IOWA","262","CLOTHIANIDIN",759,768
"344",2012,"WISCONSIN","IOWA","262","FIPRONIL",NA,27
"345",2012,"WISCONSIN","IOWA","262","IMIDACLOPRID",412,423
"346",2012,"WISCONSIN","LAFAYETTE","3,992","CHLOROTHALONIL",43,63
"347",2012,"WISCONSIN","LAFAYETTE","3,992","CHLORPYRIFOS",4503,5152
"348",2012,"WISCONSIN","LAFAYETTE","3,992","CLOTHIANIDIN",1398,1398
"349",2012,"WISCONSIN","LAFAYETTE","3,992","FIPRONIL",NA,50
"350",2012,"WISCONSIN","LAFAYETTE","3,992","IMIDACLOPRID",126,140
