"","year.x","state","state_fips.x","honey_producing_colonies","yield_per_colony","production","compound","low","high"
"83","2004","Michigan",26,72,77,5544,"THIACLOPRID",NA,1724
"84","2004","Minnesota",27,117,73,8541,"CHLOROTHALONIL",NA,65602
"85","2004","Minnesota",27,117,73,8541,"CHLORPYRIFOS",NA,212512
"86","2004","Minnesota",27,117,73,8541,"CLOTHIANIDIN",NA,5275
"87","2004","Minnesota",27,117,73,8541,"FIPRONIL",NA,6777
"88","2004","Minnesota",27,117,73,8541,"IMIDACLOPRID",NA,3103
"89","2004","Mississippi",28,18,78,1404,"CHLOROTHALONIL",NA,8248
"90","2004","Mississippi",28,18,78,1404,"CHLORPYRIFOS",NA,14587
"91","2004","Mississippi",28,18,78,1404,"CLOTHIANIDIN",NA,274
"92","2004","Mississippi",28,18,78,1404,"IMIDACLOPRID",NA,7603
"93","2004","Missouri",29,18,50,900,"CHLOROTHALONIL",NA,16084
"94","2004","Missouri",29,18,50,900,"CHLORPYRIFOS",NA,73984
"95","2004","Missouri",29,18,50,900,"CLOTHIANIDIN",NA,7061
"96","2004","Missouri",29,18,50,900,"FIPRONIL",NA,1257
"97","2004","Missouri",29,18,50,900,"IMIDACLOPRID",NA,7544
"98","2004","Missouri",29,18,50,900,"THIACLOPRID",NA,30
"99","2004","Montana",30,134,63,8442,"CHLOROTHALONIL",NA,24907
"100","2004","Montana",30,134,63,8442,"CHLORPYRIFOS",NA,42155
"101","2004","Montana",30,134,63,8442,"CLOTHIANIDIN",NA,107
"102","2004","Montana",30,134,63,8442,"FIPRONIL",NA,31
"103","2004","Montana",30,134,63,8442,"IMIDACLOPRID",NA,201
"104","2004","Nebraska",31,43,75,3225,"CHLOROTHALONIL",NA,24854
"105","2004","Nebraska",31,43,75,3225,"CHLORPYRIFOS",NA,157503
"106","2004","Nebraska",31,43,75,3225,"CLOTHIANIDIN",31678,31678
"107","2004","Nebraska",31,43,75,3225,"FIPRONIL",NA,46642
"108","2004","Nebraska",31,43,75,3225,"IMIDACLOPRID",NA,7572
"109","2004","Nevada",32,9,62,558,"CHLOROTHALONIL",4121,4128
"110","2004","Nevada",32,9,62,558,"CHLORPYRIFOS",NA,2049
"111","2004","Nevada",32,9,62,558,"CLOTHIANIDIN",NA,7
"112","2004","Nevada",32,9,62,558,"IMIDACLOPRID",NA,285
"113","2004","New Jersey",34,11,40,440,"CHLOROTHALONIL",42511,45748
"114","2004","New Jersey",34,11,40,440,"CHLORPYRIFOS",1837,11129
"115","2004","New Jersey",34,11,40,440,"CLOTHIANIDIN",NA,327
"116","2004","New Jersey",34,11,40,440,"FIPRONIL",NA,446
"117","2004","New Jersey",34,11,40,440,"IMIDACLOPRID",397,492
"118","2004","New Mexico",35,11,44,484,"CHLOROTHALONIL",NA,5888
"119","2004","New Mexico",35,11,44,484,"CHLORPYRIFOS",26048,31397
"120","2004","New Mexico",35,11,44,484,"CLOTHIANIDIN",NA,158
"121","2004","New Mexico",35,11,44,484,"FIPRONIL",NA,1336
"122","2004","New Mexico",35,11,44,484,"IMIDACLOPRID",NA,3143
"123","2004","New York",36,60,98,5880,"CHLOROTHALONIL",111711,119362
"124","2004","New York",36,60,98,5880,"CHLORPYRIFOS",52323,65562
"125","2004","New York",36,60,98,5880,"CLOTHIANIDIN",NA,195
"126","2004","New York",36,60,98,5880,"FIPRONIL",NA,2594
"127","2004","New York",36,60,98,5880,"IMIDACLOPRID",NA,2204
"128","2004","New York",36,60,98,5880,"THIACLOPRID",NA,71
"129","2004","North Carolina",37,16,42,672,"CHLOROTHALONIL",70094,77906
"130","2004","North Carolina",37,16,42,672,"CHLORPYRIFOS",76655,85195
"131","2004","North Carolina",37,16,42,672,"CLOTHIANIDIN",NA,4365
"132","2004","North Carolina",37,16,42,672,"IMIDACLOPRID",NA,5575
"133","2004","North Carolina",37,16,42,672,"THIACLOPRID",NA,27
"134","2004","North Dakota",38,320,75,24000,"CHLOROTHALONIL",NA,108411
"135","2004","North Dakota",38,320,75,24000,"CHLORPYRIFOS",NA,122678
"136","2004","North Dakota",38,320,75,24000,"CLOTHIANIDIN",NA,736
"137","2004","North Dakota",38,320,75,24000,"FIPRONIL",NA,2217
"138","2004","North Dakota",38,320,75,24000,"IMIDACLOPRID",NA,10205
"139","2004","Ohio",39,18,70,1260,"CHLOROTHALONIL",53802,55735
"140","2004","Ohio",39,18,70,1260,"CHLORPYRIFOS",63237,91499
"141","2004","Ohio",39,18,70,1260,"CLOTHIANIDIN",NA,4344
"142","2004","Ohio",39,18,70,1260,"FIPRONIL",NA,3056
"143","2004","Ohio",39,18,70,1260,"IMIDACLOPRID",NA,6483
"144","2004","Ohio",39,18,70,1260,"THIACLOPRID",NA,199
"145","2004","Oklahoma",40,3,53,159,"CHLOROTHALONIL",NA,18688
"146","2004","Oklahoma",40,3,53,159,"CHLORPYRIFOS",190783,197527
"147","2004","Oklahoma",40,3,53,159,"CLOTHIANIDIN",NA,280
"148","2004","Oklahoma",40,3,53,159,"FIPRONIL",NA,1506
"149","2004","Oklahoma",40,3,53,159,"IMIDACLOPRID",NA,2856
"150","2004","Oregon",41,43,49,2107,"CHLOROTHALONIL",38459,41617
"151","2004","Oregon",41,43,49,2107,"CHLORPYRIFOS",NA,80209
"152","2004","Oregon",41,43,49,2107,"CLOTHIANIDIN",NA,58
"153","2004","Oregon",41,43,49,2107,"IMIDACLOPRID",NA,1683
"154","2004","Oregon",41,43,49,2107,"THIACLOPRID",NA,463
"155","2004","Pennsylvania",42,29,57,1653,"CHLOROTHALONIL",NA,61607
"156","2004","Pennsylvania",42,29,57,1653,"CHLORPYRIFOS",118337,140510
"157","2004","Pennsylvania",42,29,57,1653,"CLOTHIANIDIN",NA,5458
"158","2004","Pennsylvania",42,29,57,1653,"FIPRONIL",NA,3973
"159","2004","Pennsylvania",42,29,57,1653,"IMIDACLOPRID",NA,1608
"160","2004","Pennsylvania",42,29,57,1653,"THIACLOPRID",NA,441
"161","2004","South Carolina",45,5,94,470,"CHLOROTHALONIL",44749,47114
"162","2004","South Carolina",45,5,94,470,"CHLORPYRIFOS",NA,29836
"163","2004","South Carolina",45,5,94,470,"CLOTHIANIDIN",NA,9433
"164","2004","South Carolina",45,5,94,470,"IMIDACLOPRID",NA,1613
"165","2004","South Carolina",45,5,94,470,"THIACLOPRID",7,7
"166","2004","South Dakota",46,225,51,11475,"CHLOROTHALONIL",3958,3938
"167","2004","South Dakota",46,225,51,11475,"CHLORPYRIFOS",NA,330914
"168","2004","South Dakota",46,225,51,11475,"CLOTHIANIDIN",NA,5909
"169","2004","South Dakota",46,225,51,11475,"FIPRONIL",NA,11788
"170","2004","South Dakota",46,225,51,11475,"IMIDACLOPRID",NA,608
"171","2004","Tennessee",47,8,61,488,"CHLOROTHALONIL",NA,18257
"172","2004","Tennessee",47,8,61,488,"CHLORPYRIFOS",NA,16370
"173","2004","Tennessee",47,8,61,488,"CLOTHIANIDIN",NA,1813
"174","2004","Tennessee",47,8,61,488,"FIPRONIL",NA,191
"175","2004","Tennessee",47,8,61,488,"IMIDACLOPRID",NA,9366
"176","2004","Tennessee",47,8,61,488,"THIACLOPRID",0,0
"177","2004","Texas",48,114,67,7638,"CHLOROTHALONIL",NA,106149
"178","2004","Texas",48,114,67,7638,"CHLORPYRIFOS",NA,112159
"179","2004","Texas",48,114,67,7638,"CLOTHIANIDIN",NA,11381
"180","2004","Texas",48,114,67,7638,"FIPRONIL",NA,18372
"181","2004","Texas",48,114,67,7638,"IMIDACLOPRID",NA,44271
"182","2004","Utah",49,22,59,1298,"CHLOROTHALONIL",NA,1289
"183","2004","Utah",49,22,59,1298,"CHLORPYRIFOS",NA,14040
"184","2004","Utah",49,22,59,1298,"CLOTHIANIDIN",NA,101
"185","2004","Utah",49,22,59,1298,"IMIDACLOPRID",NA,38
"186","2004","Vermont",50,7,89,623,"CHLOROTHALONIL",666,602
"187","2004","Vermont",50,7,89,623,"CHLORPYRIFOS",838,841
"188","2004","Vermont",50,7,89,623,"CLOTHIANIDIN",NA,92
"189","2004","Vermont",50,7,89,623,"FIPRONIL",NA,291
"190","2004","Vermont",50,7,89,623,"IMIDACLOPRID",186,186
"191","2004","Vermont",50,7,89,623,"THIACLOPRID",17,17
"192","2004","Virginia",51,8,38,304,"CHLOROTHALONIL",NA,58181
"193","2004","Virginia",51,8,38,304,"CHLORPYRIFOS",NA,32445
"194","2004","Virginia",51,8,38,304,"CLOTHIANIDIN",NA,1318
"195","2004","Virginia",51,8,38,304,"IMIDACLOPRID",NA,1488
"196","2004","Washington",53,50,51,2550,"CHLOROTHALONIL",NA,68044
"197","2004","Washington",53,50,51,2550,"CHLORPYRIFOS",NA,192301
"198","2004","Washington",53,50,51,2550,"CLOTHIANIDIN",NA,24
"199","2004","Washington",53,50,51,2550,"IMIDACLOPRID",NA,5228
"200","2004","Washington",53,50,51,2550,"THIACLOPRID",NA,1765
"201","2004","West Virginia",54,9,51,459,"CHLOROTHALONIL",3014,3011
"202","2004","West Virginia",54,9,51,459,"CHLORPYRIFOS",NA,1904
"203","2004","West Virginia",54,9,51,459,"CLOTHIANIDIN",NA,145
"204","2004","West Virginia",54,9,51,459,"FIPRONIL",NA,32
"205","2004","West Virginia",54,9,51,459,"IMIDACLOPRID",NA,214
"206","2004","Wisconsin",55,70,95,6650,"CHLOROTHALONIL",157542,170772
"207","2004","Wisconsin",55,70,95,6650,"CHLORPYRIFOS",NA,95084
"208","2004","Wisconsin",55,70,95,6650,"CLOTHIANIDIN",NA,2438
"209","2004","Wisconsin",55,70,95,6650,"FIPRONIL",NA,4982
"210","2004","Wisconsin",55,70,95,6650,"IMIDACLOPRID",NA,8486
"211","2004","Wyoming",56,38,63,2394,"CHLOROTHALONIL",2551,2551
"212","2004","Wyoming",56,38,63,2394,"CHLORPYRIFOS",NA,11964
"213","2004","Wyoming",56,38,63,2394,"CLOTHIANIDIN",NA,216
"214","2004","Wyoming",56,38,63,2394,"FIPRONIL",NA,45
"215","2004","Wyoming",56,38,63,2394,"IMIDACLOPRID",NA,131
"216","2005","Alabama",1,13,82,1066,"CHLOROTHALONIL",331441,336612
"217","2005","Alabama",1,13,82,1066,"CHLORPYRIFOS",5144,14793
"218","2005","Alabama",1,13,82,1066,"CLOTHIANIDIN",NA,1505
"219","2005","Alabama",1,13,82,1066,"IMIDACLOPRID",NA,992
"220","2005","Arizona",4,35,72,2520,"CHLOROTHALONIL",6688,16551
"221","2005","Arizona",4,35,72,2520,"CHLORPYRIFOS",24602,24566
"222","2005","Arizona",4,35,72,2520,"IMIDACLOPRID",8110,8634
"223","2005","Arkansas",5,40,75,3000,"CHLOROTHALONIL",NA,20625
"224","2005","Arkansas",5,40,75,3000,"CHLORPYRIFOS",NA,13616
"225","2005","Arkansas",5,40,75,3000,"CLOTHIANIDIN",NA,2458
"226","2005","Arkansas",5,40,75,3000,"FIPRONIL",NA,224
"227","2005","Arkansas",5,40,75,3000,"IMIDACLOPRID",NA,6901
"228","2005","California",6,480,67,32160,"CHLOROTHALONIL",290769,290769
"229","2005","California",6,480,67,32160,"CHLORPYRIFOS",880704,880704
"230","2005","California",6,480,67,32160,"IMIDACLOPRID",42567,42567
"231","2005","Colorado",8,24,86,2064,"CHLOROTHALONIL",NA,32705
"232","2005","Colorado",8,24,86,2064,"CHLORPYRIFOS",NA,51566
"233","2005","Colorado",8,24,86,2064,"CLOTHIANIDIN",NA,5371
"234","2005","Colorado",8,24,86,2064,"FIPRONIL",NA,3226
"235","2005","Colorado",8,24,86,2064,"IMIDACLOPRID",NA,2379
"236","2005","Florida",12,210,71,14910,"CHLOROTHALONIL",NA,589592
"237","2005","Florida",12,210,71,14910,"CHLORPYRIFOS",66118,74249
"238","2005","Florida",12,210,71,14910,"CLOTHIANIDIN",5,5
"239","2005","Florida",12,210,71,14910,"IMIDACLOPRID",NA,26824
"240","2005","Georgia",13,52,65,3380,"CHLOROTHALONIL",NA,1149278
"241","2005","Georgia",13,52,65,3380,"CHLORPYRIFOS",NA,165816
"242","2005","Georgia",13,52,65,3380,"CLOTHIANIDIN",NA,45
"243","2005","Georgia",13,52,65,3380,"IMIDACLOPRID",NA,3525
"244","2005","Georgia",13,52,65,3380,"THIACLOPRID",17,17
"245","2005","Idaho",16,100,46,4600,"CHLOROTHALONIL",NA,126431
"246","2005","Idaho",16,100,46,4600,"CHLORPYRIFOS",NA,15089
"247","2005","Idaho",16,100,46,4600,"CLOTHIANIDIN",NA,100
"248","2005","Idaho",16,100,46,4600,"IMIDACLOPRID",3747,3748
"249","2005","Idaho",16,100,46,4600,"THIACLOPRID",23,23
"250","2005","Illinois",17,7,60,420,"CHLOROTHALONIL",NA,34966
"251","2005","Illinois",17,7,60,420,"CHLORPYRIFOS",386970,440046
"252","2005","Illinois",17,7,60,420,"CLOTHIANIDIN",47239,47239
"253","2005","Illinois",17,7,60,420,"FIPRONIL",NA,9506
"254","2005","Illinois",17,7,60,420,"IMIDACLOPRID",NA,7967
"255","2005","Indiana",18,5,56,280,"CHLOROTHALONIL",NA,46978
"256","2005","Indiana",18,5,56,280,"CHLORPYRIFOS",NA,197208
"257","2005","Indiana",18,5,56,280,"CLOTHIANIDIN",39016,39016
"258","2005","Indiana",18,5,56,280,"FIPRONIL",NA,9704
"259","2005","Indiana",18,5,56,280,"IMIDACLOPRID",NA,2699
"260","2005","Indiana",18,5,56,280,"THIACLOPRID",23,23
"261","2005","Iowa",19,32,59,1888,"CHLOROTHALONIL",NA,35232
"262","2005","Iowa",19,32,59,1888,"CHLORPYRIFOS",274121,311364
"263","2005","Iowa",19,32,59,1888,"CLOTHIANIDIN",39666,39666
"264","2005","Iowa",19,32,59,1888,"FIPRONIL",NA,11859
"265","2005","Iowa",19,32,59,1888,"IMIDACLOPRID",5886,5888
"266","2005","Kansas",20,16,57,912,"CHLOROTHALONIL",NA,8672
"267","2005","Kansas",20,16,57,912,"CHLORPYRIFOS",NA,85027
"268","2005","Kansas",20,16,57,912,"CLOTHIANIDIN",10491,10491
"269","2005","Kansas",20,16,57,912,"FIPRONIL",NA,15530
"270","2005","Kansas",20,16,57,912,"IMIDACLOPRID",NA,3139
"271","2005","Kentucky",21,5,48,240,"CHLOROTHALONIL",NA,6151
"272","2005","Kentucky",21,5,48,240,"CHLORPYRIFOS",NA,55291
"273","2005","Kentucky",21,5,48,240,"CLOTHIANIDIN",NA,1910
"274","2005","Kentucky",21,5,48,240,"FIPRONIL",NA,10574
"275","2005","Kentucky",21,5,48,240,"IMIDACLOPRID",NA,1823
"276","2005","Louisiana",22,34,90,3060,"CHLOROTHALONIL",NA,24992
"277","2005","Louisiana",22,34,90,3060,"CHLORPYRIFOS",NA,21388
"278","2005","Louisiana",22,34,90,3060,"CLOTHIANIDIN",NA,558
"279","2005","Louisiana",22,34,90,3060,"FIPRONIL",NA,1095
"280","2005","Louisiana",22,34,90,3060,"IMIDACLOPRID",NA,3254
"281","2005","Maine",23,8,33,264,"CHLOROTHALONIL",68776,72959
"282","2005","Maine",23,8,33,264,"CHLORPYRIFOS",1523,1737
"283","2005","Maine",23,8,33,264,"IMIDACLOPRID",2745,2748
"284","2005","Maryland",24,2,42,84,"CHLOROTHALONIL",21814,21796
"285","2005","Maryland",24,2,42,84,"CHLORPYRIFOS",NA,13615
"286","2005","Maryland",24,2,42,84,"CLOTHIANIDIN",1920,1920
"287","2005","Maryland",24,2,42,84,"IMIDACLOPRID",NA,390
"288","2005","Maryland",24,2,42,84,"THIACLOPRID",127,127
"289","2005","Michigan",26,65,74,4810,"CHLOROTHALONIL",NA,352377
"290","2005","Michigan",26,65,74,4810,"CHLORPYRIFOS",NA,144862
"291","2005","Michigan",26,65,74,4810,"CLOTHIANIDIN",6815,6815
"292","2005","Michigan",26,65,74,4810,"FIPRONIL",NA,4495
"293","2005","Michigan",26,65,74,4810,"IMIDACLOPRID",NA,4991
"294","2005","Michigan",26,65,74,4810,"THIACLOPRID",NA,1784
"295","2005","Minnesota",27,120,83,9960,"CHLOROTHALONIL",NA,37978
"296","2005","Minnesota",27,120,83,9960,"CHLORPYRIFOS",NA,289489
"297","2005","Minnesota",27,120,83,9960,"CLOTHIANIDIN",17983,17983
"298","2005","Minnesota",27,120,83,9960,"FIPRONIL",NA,11814
"299","2005","Minnesota",27,120,83,9960,"IMIDACLOPRID",NA,1103
"300","2005","Mississippi",28,21,69,1449,"CHLOROTHALONIL",NA,17958
"301","2005","Mississippi",28,21,69,1449,"CHLORPYRIFOS",NA,18870
"302","2005","Mississippi",28,21,69,1449,"CLOTHIANIDIN",NA,4473
"303","2005","Mississippi",28,21,69,1449,"FIPRONIL",NA,1419
"304","2005","Mississippi",28,21,69,1449,"IMIDACLOPRID",NA,7266
"305","2005","Missouri",29,17,53,901,"CHLOROTHALONIL",NA,38195
"306","2005","Missouri",29,17,53,901,"CHLORPYRIFOS",NA,64475
"307","2005","Missouri",29,17,53,901,"CLOTHIANIDIN",NA,10884
"308","2005","Missouri",29,17,53,901,"FIPRONIL",NA,7667
"309","2005","Missouri",29,17,53,901,"IMIDACLOPRID",NA,6310
"310","2005","Montana",30,145,66,9570,"CHLOROTHALONIL",NA,12654
"311","2005","Montana",30,145,66,9570,"CHLORPYRIFOS",NA,65937
"312","2005","Montana",30,145,66,9570,"CLOTHIANIDIN",86,86
"313","2005","Montana",30,145,66,9570,"FIPRONIL",NA,40
"314","2005","Montana",30,145,66,9570,"IMIDACLOPRID",NA,356
"315","2005","Nebraska",31,45,74,3330,"CHLOROTHALONIL",NA,46214
"316","2005","Nebraska",31,45,74,3330,"CHLORPYRIFOS",NA,70030
"317","2005","Nebraska",31,45,74,3330,"CLOTHIANIDIN",36203,36203
"318","2005","Nebraska",31,45,74,3330,"FIPRONIL",NA,30671
"319","2005","Nebraska",31,45,74,3330,"IMIDACLOPRID",NA,7810
"320","2005","Nevada",32,6,64,384,"CHLOROTHALONIL",4215,4215
"321","2005","Nevada",32,6,64,384,"CHLORPYRIFOS",NA,11971
"322","2005","Nevada",32,6,64,384,"CLOTHIANIDIN",1,1
"323","2005","Nevada",32,6,64,384,"IMIDACLOPRID",NA,140
"324","2005","New Jersey",34,10,19,190,"CHLOROTHALONIL",25820,27845
"325","2005","New Jersey",34,10,19,190,"CHLORPYRIFOS",NA,4121
"326","2005","New Jersey",34,10,19,190,"CLOTHIANIDIN",796,796
"327","2005","New Jersey",34,10,19,190,"IMIDACLOPRID",NA,707
"328","2005","New Jersey",34,10,19,190,"THIACLOPRID",NA,29
"329","2005","New Mexico",35,6,41,246,"CHLOROTHALONIL",NA,5310
"330","2005","New Mexico",35,6,41,246,"CHLORPYRIFOS",11680,18992
"331","2005","New Mexico",35,6,41,246,"CLOTHIANIDIN",684,684
"332","2005","New Mexico",35,6,41,246,"FIPRONIL",NA,529
"333","2005","New Mexico",35,6,41,246,"IMIDACLOPRID",NA,3014
"334","2005","New York",36,67,72,4824,"CHLOROTHALONIL",114230,115494
"335","2005","New York",36,67,72,4824,"CHLORPYRIFOS",NA,65883
"336","2005","New York",36,67,72,4824,"CLOTHIANIDIN",NA,751
"337","2005","New York",36,67,72,4824,"FIPRONIL",NA,24
"338","2005","New York",36,67,72,4824,"IMIDACLOPRID",1831,2554
"339","2005","New York",36,67,72,4824,"THIACLOPRID",NA,1552
"340","2005","North Carolina",37,10,44,440,"CHLOROTHALONIL",128554,141639
"341","2005","North Carolina",37,10,44,440,"CHLORPYRIFOS",NA,98929
"342","2005","North Carolina",37,10,44,440,"CLOTHIANIDIN",NA,3803
"343","2005","North Carolina",37,10,44,440,"IMIDACLOPRID",NA,6305
"344","2005","North Carolina",37,10,44,440,"THIACLOPRID",NA,194
"345","2005","North Dakota",38,340,87,29580,"CHLOROTHALONIL",NA,68275
"346","2005","North Dakota",38,340,87,29580,"CHLORPYRIFOS",NA,163466
"347","2005","North Dakota",38,340,87,29580,"CLOTHIANIDIN",NA,3688
"348","2005","North Dakota",38,340,87,29580,"FIPRONIL",NA,6393
"349","2005","North Dakota",38,340,87,29580,"IMIDACLOPRID",NA,3156
"350","2005","Ohio",39,15,50,750,"CHLOROTHALONIL",NA,20118
"351","2005","Ohio",39,15,50,750,"CHLORPYRIFOS",NA,197462
"352","2005","Ohio",39,15,50,750,"CLOTHIANIDIN",10132,10132
"353","2005","Ohio",39,15,50,750,"FIPRONIL",NA,3903
"354","2005","Ohio",39,15,50,750,"IMIDACLOPRID",NA,2230
"355","2005","Ohio",39,15,50,750,"THIACLOPRID",NA,43
"356","2005","Oklahoma",40,3,47,141,"CHLOROTHALONIL",NA,13329
"357","2005","Oklahoma",40,3,47,141,"CHLORPYRIFOS",38832,74386
"358","2005","Oklahoma",40,3,47,141,"CLOTHIANIDIN",NA,965
"359","2005","Oklahoma",40,3,47,141,"FIPRONIL",NA,611
"360","2005","Oklahoma",40,3,47,141,"IMIDACLOPRID",NA,2264
"361","2005","Oregon",41,42,51,2142,"CHLOROTHALONIL",42090,52626
"362","2005","Oregon",41,42,51,2142,"CHLORPYRIFOS",NA,36110
"363","2005","Oregon",41,42,51,2142,"CLOTHIANIDIN",NA,243
"364","2005","Oregon",41,42,51,2142,"IMIDACLOPRID",1179,1409
"365","2005","Oregon",41,42,51,2142,"THIACLOPRID",NA,277
"366","2005","Pennsylvania",42,27,50,1350,"CHLOROTHALONIL",NA,46540
"367","2005","Pennsylvania",42,27,50,1350,"CHLORPYRIFOS",62430,76120
"368","2005","Pennsylvania",42,27,50,1350,"CLOTHIANIDIN",NA,8216
"369","2005","Pennsylvania",42,27,50,1350,"IMIDACLOPRID",1506,2003
