17,"t","[Operations that qualify as a farm. Represents expenditures on the total number of colonies, regardless of whether honey was harvested. For more estimates on the total number of colonies, see the "Honey Bee Colonies" report]"
17,"h","","","","",""
17,"h","","5 or more colonies","5 or more colonies","Less than 5 colonies","Less than 5 colonies"
17,"h","Expenditures","","","",""
17,"h","","2015","2016","2015","2016"
17,"h","","","","",""
17,"u","","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
17,"d","Varroa control and treatment",16128,16042,264,262
17,"d","Other colony issues 1/",6371,6647,100,82
17,"d","Feed 2/",50283,50307,559,482
17,"d","Foundation",9461,7294,400,320
17,"d","Hives/woodenware",11156,9014,719,706
17,"c",""
17,"f","1/ Includes Nosema, tracheal mites, foulbrood, paralysis, Kashmir, cloudy wing, etc."
17,"f","2/ Includes syrup, sugar water, honey, pollen patties, and other feeds."
16,"t","Honey: Released March 22, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
16,"t","Apiary Workers – United States: 2015 and 2016"
16,"t","[Operations that qualify as a farm. Represents number of paid and unpaid workers that worked with colonies, regardless of whether honey was harvested. For more estimates on the total number of colonies, see the "Honey Bee Colonies" report]"
16,"h","","",""
16,"h","United States","Apiary workers","Apiary workers"
16,"h","","",""
16,"h","","2015","2016"
16,"h","","",""
16,"u","","(workers)","(workers)"
16,"d","  5 or more colonies",23000,24000
16,"d","  Less than 5 colonies",19000,19000
16,"c",""
4,"t","Honey: Released March 22, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
4,"t","Reliability of Honey Estimates"
4,"t","[Based on data for the past 10 years]"
4,"h","","","","","","","",""
4,"h","","Root mean","90 percent","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate"
4,"h","","square error","confidence","","","","",""
4,"h","","","level","","","","",""
4,"h","Item","","","","","","Years","Years"
4,"h","","","","","","","",""
4,"h","","","","Average","Smallest","Largest","Below latest","Above latest"
4,"h","","","","","","","",""
4,"u","","(percent)","(percent)","(1,000)","(1,000)","(1,000)","(number)","(number)"
4,"d","Honey producing colonies",1.3,2.4,17,-,85,5,1
4,"d","",,,,,,,
4,"d","Honey production",1.3,2.4,1080,-,4796,4,2
4,"c",""
4,"f","-  Represents zero."
