19,"d","South Carolina",16,34,544,27,270,1469
19,"d","",,,,,,
19,"d","South Dakota",255,57,14535,6541,207,30087
19,"d","Tennessee",7,41,287,75,457,1312
19,"d","Texas",120,66,7920,2297,217,17186
19,"d","Utah",27,31,837,67,208,1741
19,"d","Vermont",7,54,378,144,402,1520
19,"d","Virginia",6,35,210,46,577,1212
19,"d","Washington",77,45,3465,1594,244,8455
19,"d","West Virginia",6,40,240,50,393,943
19,"d","Wisconsin",53,56,2968,683,282,8370
19,"d","Wyoming",39,53,2067,186,161,3328
19,"d","",,,,,,
19,"d","Other States 5/ 6/",34,43,1473,184,443,7968
19,"d","",,,,,,
19,"d","United States 6/ 7/",2683,55.5,148980,30662,219.9,334166
19,"c",""
19,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was harvested during the year. It is possible to harvest honey from colonies which did not survive the entire year."
19,"f","2/ Stocks held by producers."
19,"f","3/ Average price per pound based on expanded sales."
19,"f","4/ Value of production is equal to production multiplied by average price per pound."
19,"f","5/ Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, New Mexico, Oklahoma, and Rhode Island not published separately to avoid disclosing data for individual operations."
19,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
19,"f","7/ United States value of production will not equal summation of States."
20,"t","Honey: Released May 16, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
20,"t","Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2018"
20,"t","[Operations with 5 or more colonies that also qualify as a farm. Colonies which produced honey in more than one State were counted in each State]"
20,"h","","","","","","",""
20,"h","","Honey","Yield","","","Average","Value"
20,"h","State","producing","per","Production","Stocks","price per","of"
20,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
20,"h","","","","","","",""
20,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(cents)","(1,000 dollars)"
20,"d","Alabama",6,45,270,14,357,964
20,"d","Arizona",24,38,912,109,282,2572
20,"d","Arkansas",28,50,1400,84,187,2618
20,"d","California",335,41,13735,3022,206,28294
20,"d","Colorado",31,48,1488,283,202,3006
20,"d","Florida",215,49,10535,737,240,25284
20,"d","Georgia",98,34,3332,200,279,9296
20,"d","Hawaii",17,103,1751,18,183,3204
20,"d","Idaho",96,31,2976,655,196,5833
20,"d","Illinois",11,41,451,108,501,2260
20,"d","",,,,,,
20,"d","Indiana",7,46,322,106,375,1208
20,"d","Iowa",38,49,1862,1005,235,4376
20,"d","Kansas",5,73,365,95,300,1095
20,"d","Kentucky",4,41,164,34,542,889
20,"d","Louisiana",45,83,3735,261,190,7097
20,"d","Maine",12,32,384,92,268,1029
20,"d","Michigan",92,44,4048,729,237,9594
20,"d","Minnesota",119,61,7259,1161,188,13647
20,"d","Mississippi",20,87,1740,70,205,3567
20,"d","Missouri",9,45,405,36,258,1045
20,"d","",,,,,,
20,"d","Montana",160,92,14720,3680,192,28262
20,"d","Nebraska",40,59,2360,850,199,4696
20,"d","New Jersey",13,31,403,165,735,2962
20,"d","New York",56,48,2688,833,334,8978
20,"d","North Carolina",10,33,330,63,555,1832
20,"d","North Dakota",530,72,38160,4579,188,71741
20,"d","Ohio",14,73,1022,491,361,3689
20,"d","Oregon",93,35,3255,1009,222,7226
20,"d","Pennsylvania",19,44,836,309,373,3118
20,"d","South Carolina",16,48,768,15,304,2335
20,"d","",,,,,,
20,"d","South Dakota",255,47,11985,5154,198,23730
20,"d","Tennessee",7,46,322,84,399,1285
20,"d","Texas",132,56,7392,1035,206,15228
20,"d","Utah",26,41,1066,75,209,2228
20,"d","Vermont",7,48,336,94,366,1230
20,"d","Virginia",4,40,160,35,683,1093
20,"d","Washington",77,43,3311,563,211,6986
20,"d","West Virginia",6,37,222,38,416,924
20,"d","Wisconsin",51,45,2295,711,276,6334
20,"d","Wyoming",39,56,2184,175,189,4128
20,"d","",,,,,,
20,"d","Other States 5/ 6/",36,39,1399,314,593,8599
20,"d","",,,,,,
20,"d","United States 6/ 7/",2803,54.4,152348,29091,216.6,333482
20,"c",""
20,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was harvested during the year. It is possible to harvest honey from colonies which did not survive the entire year."
20,"f","2/ Stocks held by producers."
20,"f","3/ Average price per pound based on expanded sales."
20,"f","4/ Value of production is equal to production multiplied by average price per pound."
20,"f","5/ Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, New Mexico, Oklahoma, and Rhode Island not published separately to avoid disclosing data for individual operations."
20,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
20,"f","7/ United States value of production will not equal summation of States."
18,"t","Honey: Released May 16, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
18,"t","Honey Price by Color Class – United States: 2017 and 2018"
18,"t","[Operations with 5 or more colonies that also qualify as a farm]"
18,"h","","","","","","",""
18,"h","","Price","Price","Price","Price","Price","Price"
18,"h","","","","","","",""
18,"h","Color class","Co-op and private","Co-op and private","Retail","Retail","All","All"
18,"h","","","","","","",""
18,"h","","2017","2018","2017","2018","2017","2018"
18,"h","","","","","","",""
18,"u","","(cents per pound)","(cents per pound)","(cents per pound)","(cents per pound)","(cents per pound)","(cents per pound)"
18,"d","Water white, extra white, white",204.7,197.3,314.3,379.8,206.3,200.4
18,"d","",,,,,,
18,"d","Extra light amber",206.0,200.1,487.3,425.2,217.3,209.2
18,"d","",,,,,,
18,"d","Light amber, amber, dark amber",202.8,205.7,497.0,473.3,241.1,240.1
18,"d","",,,,,,
18,"d","All other honey, area specialties",287.2,259.6,627.9,690.0,383.4,347.9
18,"d","",,,,,,
18,"d","All honey",205.1,201.1,445.0,421.0,219.9,216.6
18,"c",""
23,"t","Honey: Released May 16, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
23,"t","Queen, Package, and Nuc Prices Paid – United States: 2017 and 2018"
23,"t","[Operations that qualify as a farm. Represents prices paid by operations, regardless of whether honey produced. For more estimates on the total number of colonies, see the "Honey Bee Colonies" report]"
23,"h","","","","","","",""
23,"h","United States","Queen","Queen","Package","Package","Nuc","Nuc"
23,"h","","","","","","",""
23,"h","","2017","2018","2017","2018","2017","2018"
23,"h","","","","","","",""
23,"u","","(dollars per)","(dollars per)","(dollars per)","(dollars per)","(dollars per)","(dollars per)"
23,"d","Operations with",,,,,,
23,"d","  5 or more colonies",14,18,76,86,107,110
23,"c",""
26,"t","Honey: Released May 16, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
26,"t","Pollination and Other Income – United States: 2016, 2017 and 2018"
26,"t","[Operations that qualify as a farm. Represents incomes from the total number of colonies, regardless of whether honey was harvested. For more estimates on the total number of colonies, see the "Honey Bee Colonies" report]"
26,"h","","","","","","",""
26,"h","United States","Pollination income","Pollination income","Pollination income","Other income 1/","Other income 1/","Other income 1/"
26,"h","","","","","","",""
26,"h","","2016","2017","2018","2016","2017","2018"
26,"h","","","","","","",""
26,"u","","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
26,"d","  5 or more colonies",252108,280779,301853,83767,80566,94643
26,"c",""
26,"f","1/ Includes sales of queens, queen cells, beeswax, propolis, etc."
24,"t","Honey: Released May 16, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
24,"t","Expenditures for Honey Bee Operations – United States: 2017 and 2018"
24,"t","[Operations that qualify as a farm. Represents expenditures on the total number of colonies, regardless of whether honey was harvested. For more estimates on the total number of colonies, see the "Honey Bee Colonies" report]"
24,"h","","",""
24,"h","","5 or more colonies","5 or more colonies"
24,"h","Expenditures","",""
24,"h","","2017","2018"
24,"h","","",""
24,"u","","(1,000 dollars)","(1,000 dollars)"
24,"d","Varroa control and treatment",17240,17788
24,"d","Other colony issues 1/",5919,4825
24,"d","Feed 2/",53075,65220
24,"d","Foundation",9775,9534
24,"d","Hives/woodenware",9989,13646
24,"c",""
24,"f","1/ Includes Nosema, tracheal mites, foulbrood, paralysis, Kashmir, cloudy wing, etc."
24,"f","2/ Includes syrup, sugar water, honey, pollen patties, and other feeds."
25,"t","Honey: Released May 16, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
25,"t","Apiary Workers – United States: 2017 and 2018"
25,"t","[Operations that qualify as a farm. Represents number of paid and unpaid workers that worked with colonies, regardless of whether honey was harvested. For more estimates on the total number of colonies, see the "Honey Bee Colonies" report]"
25,"h","","",""
25,"h","United States","Apiary workers","Apiary workers"
25,"h","","",""
25,"h","","2017","2018"
25,"h","","",""
25,"u","","(workers)","(workers)"
25,"d","  5 or more colonies",22000,23000
25,"c",""
4,"t","Honey: Released May 16, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
4,"t","Reliability of Honey Estimates"
4,"t","[Based on data for the past 10 years]"
4,"h","","","","","","","",""
4,"h","","Root mean","90 percent","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate"
4,"h","","square error","confidence","","","","",""
4,"h","","","level","","","","",""
4,"h","Item","","","","","","Years","Years"
4,"h","","","","","","","",""
4,"h","","","","Average","Smallest","Largest","Below latest","Above latest"
4,"h","","","","","","","",""
4,"u","","(percent)","(percent)","(1,000)","(1,000)","(1,000)","(number)","(number)"
4,"d","Honey producing colonies",1.3,2.4,17,-,85,3,1
4,"d","",,,,,,,
4,"d","Honey production",1.3,2.4,1059,-,4796,3,1
4,"c",""
4,"f","-  Represents zero."
